key_algorithm_oid,test_result
1.3.9999.3.9,Y
1.3.9999.3.6,Y
2.16.840.1.101.3.4.3.17,Y
2.16.840.1.101.3.4.3.18,Y
2.16.840.1.101.3.4.3.19,Y
2.16.840.1.101.3.4.3.20,Y
2.16.840.1.101.3.4.3.21,Y
2.16.840.1.101.3.4.3.22,Y
2.16.840.1.101.3.4.3.23,Y
2.16.840.1.101.3.4.3.24,Y
2.16.840.1.101.3.4.3.25,Y
2.16.840.1.101.3.4.3.26,Y
2.16.840.1.101.3.4.3.27,Y
2.16.840.1.101.3.4.3.28,Y
2.16.840.1.101.3.4.3.29,Y
2.16.840.1.101.3.4.3.30,Y
2.16.840.1.101.3.4.3.31,Y
2.16.840.1.101.3.4.3.32,Y
2.16.840.1.101.3.4.3.33,Y
2.16.840.1.101.3.4.3.34,Y
2.16.840.1.101.3.4.3.35,Y
2.16.840.1.101.3.4.3.36,Y
2.16.840.1.101.3.4.3.37,Y
2.16.840.1.101.3.4.3.38,Y
2.16.840.1.101.3.4.3.39,Y
2.16.840.1.101.3.4.3.40,Y
2.16.840.1.101.3.4.3.41,Y
2.16.840.1.101.3.4.3.42,Y
2.16.840.1.101.3.4.3.43,Y
2.16.840.1.101.3.4.3.44,Y
2.16.840.1.101.3.4.3.45,Y
2.16.840.1.101.3.4.3.46,Y
2.16.840.1.114027.80.8.1.22,Y
2.16.840.1.114027.80.8.1.23,Y
2.16.840.1.114027.80.8.1.24,Y
2.16.840.1.114027.80.8.1.27,Y
2.16.840.1.114027.80.8.1.28,Y
2.16.840.1.114027.80.8.1.30,Y
2.16.840.1.114027.80.8.1.31,Y
2.16.840.1.114027.80.8.1.35,Y
2.16.840.1.114027.80.8.1.41,Y
2.16.840.1.114027.80.8.1.42,Y
2.16.840.1.114027.80.8.1.43,Y
2.16.840.1.114027.80.8.1.45,Y
2.16.840.1.114027.80.8.1.47,Y
2.16.840.1.114027.80.8.1.48,Y
2.16.840.1.114027.80.8.1.50,Y
2.16.840.1.114027.80.8.1.51,Y
