key_algorithm_oid,type,test_result
1.3.9999.3.6,cert,N
1.3.9999.3.6,priv,N
1.3.9999.3.9,cert,N
1.3.9999.3.9,priv,N
2.16.840.1.101.3.4.3.17,both,Y
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.17,consistent,Y
2.16.840.1.101.3.4.3.17,expandedkey,Y
2.16.840.1.101.3.4.3.17,seed,Y
2.16.840.1.101.3.4.3.18,both,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.18,consistent,Y
2.16.840.1.101.3.4.3.18,expandedkey,Y
2.16.840.1.101.3.4.3.18,seed,Y
2.16.840.1.101.3.4.3.19,both,Y
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.3.19,consistent,Y
2.16.840.1.101.3.4.3.19,expandedkey,Y
2.16.840.1.101.3.4.3.19,seed,Y
2.16.840.1.101.3.4.3.20,cert,Y
2.16.840.1.101.3.4.3.20,consistent,Y
2.16.840.1.101.3.4.3.20,priv,Y
2.16.840.1.101.3.4.3.21,cert,Y
2.16.840.1.101.3.4.3.21,consistent,Y
2.16.840.1.101.3.4.3.21,priv,Y
2.16.840.1.101.3.4.3.22,cert,Y
2.16.840.1.101.3.4.3.22,consistent,Y
2.16.840.1.101.3.4.3.22,priv,Y
2.16.840.1.101.3.4.3.23,cert,Y
2.16.840.1.101.3.4.3.23,consistent,Y
2.16.840.1.101.3.4.3.23,priv,Y
2.16.840.1.101.3.4.3.24,cert,Y
2.16.840.1.101.3.4.3.24,consistent,Y
2.16.840.1.101.3.4.3.24,priv,Y
2.16.840.1.101.3.4.3.25,cert,Y
2.16.840.1.101.3.4.3.25,consistent,Y
2.16.840.1.101.3.4.3.25,priv,Y
2.16.840.1.101.3.4.3.26,cert,Y
2.16.840.1.101.3.4.3.26,consistent,Y
2.16.840.1.101.3.4.3.26,priv,Y
2.16.840.1.101.3.4.3.27,cert,Y
2.16.840.1.101.3.4.3.27,consistent,Y
2.16.840.1.101.3.4.3.27,priv,Y
2.16.840.1.101.3.4.3.28,cert,Y
2.16.840.1.101.3.4.3.28,consistent,Y
2.16.840.1.101.3.4.3.28,priv,Y
2.16.840.1.101.3.4.3.29,cert,Y
2.16.840.1.101.3.4.3.29,consistent,Y
2.16.840.1.101.3.4.3.29,priv,Y
2.16.840.1.101.3.4.3.30,cert,Y
2.16.840.1.101.3.4.3.30,consistent,Y
2.16.840.1.101.3.4.3.30,priv,Y
2.16.840.1.101.3.4.3.31,cert,Y
2.16.840.1.101.3.4.3.31,consistent,Y
2.16.840.1.101.3.4.3.31,priv,Y
2.16.840.1.101.3.4.3.32,both,N
2.16.840.1.101.3.4.3.32,cert,N
2.16.840.1.101.3.4.3.32,expandedkey,N
2.16.840.1.101.3.4.3.32,seed,N
