key_algorithm_oid,type,test_result
2.16.840.1.101.3.4.3.18,expandedkey,Y
2.16.840.1.101.3.4.3.18,both,Y
2.16.840.1.101.3.4.3.33,cert,Y
2.16.840.1.101.3.4.3.32,cert,Y
2.16.840.1.101.3.4.3.19,seed,Y
2.16.840.1.101.3.4.3.17,both,Y
2.16.840.1.101.3.4.3.18,seed,Y
2.16.840.1.101.3.4.3.18,cert,Y
2.16.840.1.101.3.4.3.17,seed,Y
2.16.840.1.101.3.4.3.17,cert,Y
2.16.840.1.101.3.4.3.33,seed,Y
2.16.840.1.101.3.4.3.33,expandedkey,Y
2.16.840.1.101.3.4.3.17,expandedkey,Y
2.16.840.1.101.3.4.3.33,both,Y
2.16.840.1.101.3.4.3.19,expandedkey,Y
2.16.840.1.101.3.4.3.34,cert,Y
2.16.840.1.101.3.4.3.19,cert,Y
2.16.840.1.101.3.4.3.19,both,Y
