key_algorithm_oid,test_result
2.16.840.1.101.3.4.3.20,Y
2.16.840.1.101.3.4.3.37,N
2.16.840.1.101.3.4.3.35,N
2.16.840.1.101.3.4.3.45,N
1.3.9999.3.9,N
2.16.840.1.101.3.4.3.27,Y
2.16.840.1.101.3.4.3.43,N
2.16.840.1.101.3.4.3.42,N
2.16.840.1.101.3.4.3.39,N
2.16.840.1.101.3.4.3.18,Y
2.16.840.1.101.3.4.3.26,Y
2.16.840.1.101.3.4.3.25,Y
2.16.840.1.101.3.4.3.30,Y
2.16.840.1.101.3.4.3.28,Y
2.16.840.1.101.3.4.3.19,Y
2.16.840.1.101.3.4.3.34,N
2.16.840.1.101.3.4.3.24,Y
2.16.840.1.101.3.4.3.22,Y
1.3.9999.3.6,N
2.16.840.1.101.3.4.3.17,Y
2.16.840.1.101.3.4.3.31,Y
2.16.840.1.101.3.4.3.33,N
2.16.840.1.101.3.4.3.46,N
2.16.840.1.101.3.4.3.40,N
2.16.840.1.101.3.4.3.36,N
2.16.840.1.101.3.4.3.32,N
2.16.840.1.101.3.4.3.29,Y
2.16.840.1.101.3.4.3.41,N
2.16.840.1.101.3.4.3.21,Y
2.16.840.1.101.3.4.3.38,N
2.16.840.1.101.3.4.3.44,N
2.16.840.1.101.3.4.3.23,Y
